id,event
0,FILE_CREATE_system
1,FILE_CREATE_unknown
2,FILE_CREATE_user
3,FILE_DELETE_system_filedispositioninformation
4,FILE_DELETE_system_none
5,FILE_DELETE_unknown_filedispositioninformation
6,FILE_DELETE_unknown_none
7,FILE_DELETE_user_filedispositioninformation
8,FILE_DELETE_user_none
9,FILE_MODIFY_system_fileallocationinformation
10,FILE_MODIFY_system_filebasicinformation
11,FILE_MODIFY_system_fileendoffileinformation
12,FILE_MODIFY_system_filepipeinformation
13,FILE_MODIFY_system_filepositioninformation
14,FILE_MODIFY_system_filevaliddatalengthinformation
15,FILE_MODIFY_unknown_fileallocationinformation
16,FILE_MODIFY_unknown_filebasicinformation
17,FILE_MODIFY_unknown_fileendoffileinformation
18,FILE_MODIFY_user_fileallocationinformation
19,FILE_MODIFY_user_filebasicinformation
20,FILE_MODIFY_user_fileendoffileinformation
21,FILE_MODIFY_user_filepipeinformation
22,FILE_MODIFY_user_filepositioninformation
23,FILE_MODIFY_user_fileshortnameinformation
24,FILE_MODIFY_user_filevaliddatalengthinformation
25,FILE_READ_system
26,FILE_READ_unknown
27,FILE_READ_user
28,FILE_RENAME_system
29,FILE_RENAME_unknown
30,FILE_RENAME_user
31,FILE_WRITE_system
32,FILE_WRITE_unknown
33,FILE_WRITE_user
34,FLOW_MESSAGE_inbound_17_mcast
35,FLOW_MESSAGE_inbound_17_scast
36,FLOW_MESSAGE_inbound_6_scast
37,FLOW_MESSAGE_outbound_17_mcast
38,FLOW_MESSAGE_outbound_17_scast
39,FLOW_MESSAGE_outbound_6_scast
40,FLOW_OPEN_inbound_17_None
41,FLOW_OPEN_inbound_6_None
42,FLOW_START_inbound_17_mcast
43,FLOW_START_inbound_17_scast
44,FLOW_START_inbound_1_scast
45,FLOW_START_inbound_2_mcast
46,FLOW_START_inbound_58_mcast
47,FLOW_START_inbound_58_scast
48,FLOW_START_inbound_6_scast
49,FLOW_START_outbound_17_mcast
50,FLOW_START_outbound_17_scast
51,FLOW_START_outbound_1_scast
52,FLOW_START_outbound_2_mcast
53,FLOW_START_outbound_58_mcast
54,FLOW_START_outbound_58_scast
55,FLOW_START_outbound_6_scast
56,HOST_START
57,MODULE_LOAD
58,PROCESS_CREATE_fontdriverhost
59,PROCESS_CREATE_ntauthority
60,PROCESS_CREATE_sysclient0052
61,PROCESS_CREATE_sysclient0124
62,PROCESS_CREATE_systemiacom
63,PROCESS_CREATE_windowmanager
64,PROCESS_OPEN_nonsusp
65,PROCESS_OPEN_suspicious
66,PROCESS_TERMINATE_fontdriverhost
67,PROCESS_TERMINATE_ntauthority
68,PROCESS_TERMINATE_sysclient0051
69,PROCESS_TERMINATE_sysclient0052
70,PROCESS_TERMINATE_sysclient0124
71,PROCESS_TERMINATE_systemiacom
72,PROCESS_TERMINATE_windowmanager
73,REGISTRY_ADD_binary
74,REGISTRY_ADD_dword
75,REGISTRY_ADD_none
76,REGISTRY_ADD_qword
77,REGISTRY_ADD_sz
78,REGISTRY_EDIT_binary
79,REGISTRY_EDIT_dword
80,REGISTRY_EDIT_none
81,REGISTRY_EDIT_qword
82,REGISTRY_EDIT_sz
83,REGISTRY_REMOVE
84,SERVICE_CREATE
85,SHELL_COMMAND
86,TASK_CREATE_ad8c_20
87,TASK_CREATE_kickoffautologinrandom_18
88,TASK_CREATE_killonedrive_systemiacom
89,TASK_CREATE_murder_onedrive_18
90,TASK_DELETE_ad8c_ntauthority
91,TASK_DELETE_kickoffautologinrandom_ntauthority
92,TASK_DELETE_killonedrive_ntauthority
93,TASK_DELETE_onedrivestandaloneupdatetaskv2_ntauthority
94,TASK_DELETE_windowsdefendercachemaintenance_ntauthority
95,TASK_DELETE_windowsdefendercleanup_ntauthority
96,TASK_DELETE_windowsdefenderscheduledscan_ntauthority
97,TASK_DELETE_windowsdefenderverification_ntauthority
98,TASK_MODIFY_.netframeworkngenv4.0.3031964_system
99,TASK_MODIFY_.netframeworkngenv4.0.30319_system
100,TASK_MODIFY_9981_20
101,TASK_MODIFY_ad8c_20
102,TASK_MODIFY_device_systemiacom
103,TASK_MODIFY_enabletestsigning_systemiacom
104,TASK_MODIFY_killonedrive_systemiacom
105,TASK_MODIFY_murder_onedrive_18
106,TASK_MODIFY_resumeonboot_system
107,TASK_MODIFY_scheduledstart_ntauthority
108,TASK_MODIFY_schedulescan_systemiacom
109,TASK_MODIFY_svcrestarttask_systemiacom
110,TASK_MODIFY_wsswapassessmenttask_systemiacom
111,TASK_START
112,THREAD_CREATE
113,THREAD_REMOTE_CREATE
114,THREAD_TERMINATE
115,USER_SESSION_GRANT_none
116,USER_SESSION_INTERACTIVE_systemiacom
117,USER_SESSION_LOGIN_none
118,USER_SESSION_LOGIN_systemiacom
119,USER_SESSION_LOGOUT_none
120,USER_SESSION_REMOTE_none
121,USER_SESSION_UNLOCK_systemiacom
